Rxn,cytosol,plastid,plasma membrane,mitochondria,peroxisome,vacuole,thylakoid,inner mitochondrial matrix
NAD_SYNTH_NH3_RXN,1,0,0,0,0,0,0,0
FLAVONOL_3_O_GLUCOSYLTRANSFERASE_RXN,1,0,0,0,0,0,0,0
APIGNAR_RXN,0,1,0,0,0,0,0,0
RXN1G_526,1,0,0,0,0,0,0,0
RXN_8000,1,0,0,0,0,0,0,0
GALACTOKIN_RXN,1,0,0,0,0,0,0,0
R82_RXN,1,0,0,0,0,0,0,0
TROPINE_DEHYDROGENASE_RXN,1,0,0,0,0,0,0,0
RIBOFLAVINSYNDEAM_RXN,0,1,0,0,0,0,0,0
RXN_1125,1,0,0,0,0,0,0,0
LIPIDXSYNTHESIS-RXN,1,0,0,0,0,0,0,0
RXN_10062,1,1,0,0,0,0,0,0
RXN_10061,1,0,0,0,0,0,0,0
RXN_10060,1,0,0,0,0,0,0,0
RXN_9240,1,0,0,0,0,0,0,0
ISOCITRATE_DEHYDROGENASE_NAD+_RXN,1,0,0,1,1,0,0,0
ALLANTOATE_DEIMINASE_RXN,0,0,0,0,1,0,0,0
RXN_10068,1,0,0,0,0,0,0,0
1_2_1_31_RXN,1,1,0,1,1,0,0,0
THREDEHYD_RXN,1,1,0,0,0,0,0,0
MEVALONATE_KINASE_RXN,1,0,0,0,0,0,0,0
ALKANE_1_MONOOXYGENASE_RXN,0,1,0,0,0,0,0,0
RXN_15745,1,1,0,0,1,0,0,0
rxnara_8002,0,1,0,0,0,0,0,0
CINNAMOYL_COA_REDUCTASE_RXN,0,0,0,0,1,0,0,0
RXN3O_130,1,0,0,0,0,0,0,0
RXN_13961,1,0,0,0,0,0,0,0
RXN_13965,1,0,0,0,0,0,0,0
RXN_7864,0,0,1,0,0,0,0,0
OHMETPYRKIN_RXN,0,1,0,0,0,0,0,0
RXN_6222,1,0,0,0,0,0,0,0
1_1_1_271_RXN,1,0,0,0,0,0,0,0
3_1_3_74_RXN,0,1,0,0,0,0,0,0
2_3_1_78_RXN,1,0,0,0,0,0,0,0
DIHYDROPYRIMIDINASE_RXN,1,1,0,0,0,0,0,0
RXN_7570,1,0,0,0,0,0,0,0
TRANS_OCTAPRENYLTRANSTRANSFERASE_RXN,0,1,0,0,0,0,0,0
RXN_14500,1,0,0,0,0,0,0,0
ORNDECARBOX_RXN,0,0,0,1,0,0,0,0
DAPASYN_RXN,0,0,0,1,0,0,0,0
rxn0_363,1,0,0,0,0,0,0,0
BIS5_ADENOSYL_TRIPHOSPHATASE_RXN,1,0,0,0,0,0,0,0
SHIKIMATE_5_DEHYDROGENASE_RXN,0,1,0,0,0,0,0,0
RXN_7609,1,0,0,0,0,0,0,0
RXN_13189,1,0,0,0,0,0,0,0
RXN_13188,1,0,0,0,0,0,0,0
ACETOLACTREDUCTOISOM_RXN,0,1,0,0,0,0,0,0
GLY3KIN_RXN,0,1,0,0,0,0,0,0
RXNQT_4394,1,0,0,0,0,0,0,0
RXNQT_4395,0,1,1,1,0,1,0,0
RXN_5468,1,0,1,0,0,1,0,0
RXN_5469,1,0,0,0,0,0,0,0
RXNQT_4391,1,0,0,0,0,0,0,0
RXNQT_4392,1,0,0,0,0,0,0,0
RXNQT_4393,1,0,0,0,0,0,0,0
RXN_5462,1,0,0,0,0,0,0,0
RXN_5463,1,0,0,0,0,0,0,0
RXN_5466,1,0,0,0,0,0,0,0
RXN_5467,1,0,0,0,0,0,0,0
RXN_5464,1,0,0,0,0,0,0,0
PREPHENATE_ASP_TRANSAMINE_RXN,1,0,0,0,0,0,0,0
RXN_13748,1,0,0,0,0,0,0,0
ALKAPHOSPHA_RXN,1,0,0,0,0,0,0,0
DTDPDEHYDRHAMEPIM_RXN,1,0,0,0,0,0,0,0
24_DICHLOROPHENOL_6_MONOOXYGENASE_RXN,0,0,0,1,0,0,0,0
PRIBFAICARPISOM_RXN,0,1,0,0,0,0,0,0
R02340,0,1,0,0,0,0,0,0
RXN_7755,1,0,0,0,0,0,0,0
NITRIC_OXIDE_SYNTHASE_RXN,1,0,0,0,0,0,0,0
OAAtrans_m2,0,0,0,0,0,0,0,0
RXN_8648,1,0,0,0,0,0,0,0
3_6_4_11_RXN,1,0,0,0,0,0,0,0
RXN_7686,1,0,0,0,0,0,0,0
RXN_7687,1,0,0,0,0,0,0,0
LIPOXYGENASE_RXN,0,1,0,0,0,0,0,0
RXN_7682,1,1,0,0,1,0,0,0
RXN_7683,1,0,0,0,0,0,0,0
2_8_2_27_RXN,1,0,0,0,0,0,0,0
RXN_17888,1,0,0,0,0,0,0,0
RXN_17889,1,0,0,0,0,0,0,0
mzrxn22,0,0,0,0,0,0,0,0
RXN_9597,1,0,0,0,0,0,0,0
RXN3DJ_170,1,0,0,0,0,0,0,0
mzrxn20,0,0,0,0,0,0,0,0
GST_RXN,0,1,0,0,0,0,0,0
RXN_12107,1,0,0,0,0,0,0,0
RXN1F_461,1,0,0,0,0,0,0,0
RXN_9915,1,0,0,0,0,0,0,0
mzrxn36,0,0,0,0,0,0,0,0
RXN_8425,1,0,0,0,0,0,0,0
RXN_8424,1,0,0,0,0,0,0,0
RXN_8426,1,0,0,0,0,0,0,0
RXN_8422,1,0,0,0,0,0,0,0
RXN_12326,1,0,0,0,0,0,0,0
GLUTATHIONE_SYN_RXN,1,1,0,0,0,0,0,0
RXN_12320,1,0,1,0,0,0,0,0
AMP_DEPHOSPHORYLATION_RXN,1,1,0,0,1,0,0,0
RXN0_5199,1,0,0,0,0,0,0,0
2_6_1_18_RXN,0,0,0,1,0,0,0,0
RXN_8357,1,0,0,0,0,0,0,0
RXN_8351,1,0,0,0,0,0,0,0
GLUTAMATE_SYNTHASE_FERREDOXIN_RXN,0,1,0,0,0,0,0,0
GAMMA_GLUTAMYLCYCLOTRANSFERASE_RXN,1,0,0,0,0,0,0,0
3_2_1_24_RXN,1,0,0,0,0,0,0,0
MR00881,1,0,0,0,0,0,0,0
RXN_16045,1,0,0,0,0,0,0,0
BADH_RXN,1,0,0,0,0,0,0,0
RXN_9356,1,0,0,0,0,0,0,0
GLUCOSYLCERAMIDASE_RXN,1,0,0,0,0,0,0,0
R02167,1,0,0,0,0,0,0,0
RXN_7903,0,1,0,1,0,0,0,0
RXN_11213,1,0,0,0,0,0,0,0
RXN_11211,0,1,0,0,0,0,0,0
RXN_10769,1,1,0,0,1,1,0,0
DIHYDRONEOPTERIN_MONO_P_DEPHOS_RXN,0,1,0,0,0,0,0,0
GLU6PDEHYDROG_RXN,1,1,0,0,0,0,0,0
CTPSYN_RXN,1,1,0,0,0,0,0,0
MYO_INOSITOL_OXYGENASE_RXN,1,0,0,0,0,0,0,0
3_2_1_96_RXN,1,0,0,0,0,0,0,0
RXN_11695,1,0,0,0,0,0,0,0
RXN_7904,0,1,0,0,0,0,0,0
RXN_11101,0,1,0,1,0,0,0,0
R02016,1,0,0,0,0,0,0,0
3_2_1_21_RXN,1,0,0,0,0,0,0,0
RXN0_1461,0,1,0,0,0,0,0,0
FAD_PYROPHOSPHATASE_RXN,0,1,0,0,0,0,0,0
PYRAMKIN_RXN,0,1,0,0,0,0,0,0
3_2_1_73_RXN,1,0,0,0,0,0,0,0
mzrxn31,0,0,0,0,0,0,0,0
mzrxn30,0,0,0,0,0,0,0,0
mzrxn33,0,0,0,0,0,0,0,0
mzrxn32,0,0,0,0,0,0,0,0
HOMOSERKIN_RXN,0,1,0,0,0,0,0,0
mzrxn34,0,0,0,0,0,0,0,0
mzrxn37,0,0,0,0,0,0,0,0
ADENYLOSUCCINATE_SYNTHASE_RXN,0,1,0,0,0,0,0,0
mzrxn39,0,0,0,0,0,0,0,0
mzrxn38,0,0,0,0,0,0,0,0
RXN_11852,1,1,0,0,0,0,0,0
RXN_14992,0,0,0,1,0,0,0,0
1_8_1_4_RXN,0,1,0,1,1,0,0,0
RXN_14996,1,0,0,0,0,0,0,0
RXN_14995,1,0,0,0,0,0,0,0
THI_P_SYN_RXN,0,1,0,0,0,0,0,0
RXN_9003,0,1,0,0,0,0,0,0
benzyl_alc_dehydrogenase_rxn,0,1,0,0,0,0,0,0
ARGSUCCINSYN_RXN,1,1,0,0,0,0,0,0
GLUTKIN_RXN,1,1,0,1,0,0,0,0
ADPSUGPPHOSPHAT_RXN,0,1,0,0,0,0,0,0
URIDINEKIN_RXN,0,1,0,0,0,0,0,0
THYKI_RXN,1,1,1,1,1,0,0,0
3_2_1_141_RXN,1,0,0,0,0,0,0,0
RXN_14199,0,1,0,0,0,0,0,0
RXN_14198,1,1,0,0,0,0,0,0
1_2_1_9_RXN,1,0,0,0,0,0,0,0
